1.5          0.0           0.000
R           37416           0.035              60               9             150
R           37254           0.035              60               9             150
C             809             720
C            2872            2733
C            4123            3952
C            4121            3951
C            3958            3797
C            3485            3484
C            4294            4471
C            2876            2875
C            2608            2609
C            2462            2333
C            2732            2733
C            2328            2457
C             702             617
C            5189            5188
C            5547            5546
C            6750            6921
C            6754            6755
C            7091            6921
C            7428            7598
C            6582            6405
C            2448            2449
C            6081            5902
C            3018            2875
C            5167            5166
C            2351            2480
C            2474            2604
C            2096            1970
C            5883            5705
C            1862            1735
C            1488            1612
C            7298            7297
C            2077            2204
C            1573            1572
C            1324            1212
C            1212            1211
C            4631            4810
C            4273            4449
C            6578            6401
C           10522           10374
C            1111            1112
C            1016            1112
C            1364            1253
C            2354            2483
C            1605            1481
C           25922           26100
C           37254           37087
C            6254            6078
C            2324            2195
C            1868            1994
C            3050            3051
C           10109            9959
