hash_id,run_name,station_id,station_name,latitude,longitude
0af5ecec986be44699e267415799b8b349eeb4e4925881a9fad5cf47fa8f3019,A&T Labs,100063,Urumewella,7.079348,80.348785
1ce1d5b46adc69d29c3dfde3f0f956d06050792827d4340cabd1079162c6bff8,Leecom,100056,Kotikawatta,6.935042,79.915401
26cd91ccbedca5496a9be3e7deb33102bcfd7dfb7f784c06d40e83d90f99e6a6,Icharm,100012,Kahawatta,6.6,80.58
2f50e5e8db4528b7519de806e988ef330de38521f16bc9a09d1c6595d1936d6d,Icharm,100010,Kalawana,6.54,80.38
57954d510be848f23b5205c9b65ca19ea37f93a91a3d2f095f66d39cacf9926d,Icharm,100009,Kalutara,6.6,79.95
7f58b84e42bfe8cfdd2cce271809d0bbed54b28a57c991df815f88aeeb526701,Icharm,100050,Dompe,0.0,0.0
8a8647d9df122b89ed25628ec21487367339fd89a5194c51cdade88e5fe79868,CUrW IoT,100041,Uduwawala,7.329,80.613
9713d404cedbccf08be7799072c1938989260e4de261b9386302d13b517ef10b,CUrW IoT,100038,Orugodawatta,6.943741,79.87887
a82afc7cfdcc8ab72b0538fa2f5c8160638cf63bfdafa1e1fe7928f6660c4f85,A&T Labs,100039,Mahapallegama,7.169737,80.258512
aeddcaddfe82d0abb1c8434f5e82933aa3ff3c63aa55bf80ba87b212aba58d8c,Leecom,100042,Kottawa North Dharmapala School,6.865576,79.958181
b7751a87e5ef0b31bc57a1809459dde62e80a1d908a60e8ee10358603b3141fd,CUrW IoT,100043,IBATTARA2,6.908,79.919
c63f18446b83d42252c903df305c0a14622490c004cc35c1fd5d359bb0fdd016,CUrW IoT,100037,Hingurana,6.904552,80.407895
c9a5ed8264633afe15fcaeabf5249fa9dc62eeb1bb780ecf8d4fc46d78d04da3,CUrW IoT,100040,Jaffna,9.6607949,80.0298459
cbf873efcc26f7d83c5a29ceb0b601fde45bb117167ec3b43a017dd5deb7d7c1,A&T Labs,100064,Kohuwala,6.860887,79.885825
d38fdf68551bad23a6ea672cc0106dd56e6a2ea6f3bd05e904fc2d7dfb6a6d33,A&T Labs,100046,Ambewela Farm,6.890585,80.802551
d62d869c8f2db041d465b7e8aeb2286fcb82c64eac17a8ff9f386e13c6ddcc51,Icharm,100011,Ratnapura,6.72,80.38
da0fd39ffc9aadf4ed9f027994470123dce48b7a52ec7ed2139b07b2beac5f01,A&T Labs,100057,Mulleriyawa,6.923571,79.941176
